actions,categories,open_issues,pull_requests,stars,category
protontypes/continuous-reforestation,"['api-management', 'community']",4,0.0,168.0,"['api-management', 'community']"
phillipdupuis/pydantic-to-typescript,"['dependency-management', 'api-management']",8,4.0,157.0,"['dependency-management', 'api-management']"
joelwmale/webhook-action,"['monitoring', 'api-management']",1,6.0,115.0,"['monitoring', 'api-management']"
getsentry/action-github-app-token,['api-management'],3,5.0,111.0,['api-management']
louisbrunner/checks-action,"['api-management', 'reporting']",3,1.0,96.0,"['api-management', 'reporting']"
jamesives/fetch-api-data-action,"['api-management', 'utilities']",0,12.0,85.0,"['api-management', 'utilities']"
matt-ball/newman-action,"['api-management', 'testing']",9,5.0,112.0,"['api-management', 'testing']"
hahwul/mzap,"['security', 'api-management']",1,0.0,87.0,"['security', 'api-management']"
stoplightio/spectral-action,"['code-review', 'api-management']",11,4.0,62.0,"['code-review', 'api-management']"
readmeio/rdme,"['continuous-integration', 'api-management']",8,1.0,59.0,"['continuous-integration', 'api-management']"
helaili/github-graphql-action,"['api-management', 'utilities']",2,12.0,60.0,"['api-management', 'utilities']"
leonsteinhaeuser/project-beta-automations,"['project-management', 'api-management']",1,0.0,58.0,"['project-management', 'api-management']"
andstor/jsdoc-action,"['api-management', 'utilities']",0,14.0,61.0,"['api-management', 'utilities']"
amirisback/frogo-admob,"['code-quality', 'api-management']",1,0.0,51.0,"['code-quality', 'api-management']"
prafulla-codes/express-autodocs,['api-management'],3,1.0,47.0,['api-management']
tibotiber/hasura-action,"['deployment', 'api-management']",1,0.0,45.0,"['deployment', 'api-management']"
bump-sh/github-action,"['continuous-integration', 'api-management']",2,6.0,37.0,"['continuous-integration', 'api-management']"
hmanzur/actions-aws-eb,"['continuous-integration', 'api-management']",4,2.0,43.0,"['continuous-integration', 'api-management']"
amirisback/nutrition-framework,"['api-management', 'utilities']",0,0.0,35.0,"['api-management', 'utilities']"
unacast/actions-github-deployment-status,"['deployment', 'api-management']",4,0.0,32.0,"['deployment', 'api-management']"
itsmeow/curseforge-upload,"['publishing', 'api-management']",2,0.0,29.0,"['publishing', 'api-management']"
satak/webrequest-action,"['api-management', 'utilities']",1,7.0,42.0,"['api-management', 'utilities']"
databricks/run-notebook,['api-management'],5,0.0,27.0,['api-management']
peterkimzz/aws-ssm-send-command,"['deployment', 'api-management']",8,2.0,48.0,"['deployment', 'api-management']"
legion2/swagger-ui-action,"['api-management', 'utilities']",1,5.0,33.0,"['api-management', 'utilities']"
char0n/swagger-editor-validate,"['code-quality', 'api-management']",7,1.0,29.0,"['code-quality', 'api-management']"
joelanford/go-apidiff,"['code-review', 'api-management']",2,0.0,26.0,"['code-review', 'api-management']"
bufbuild/buf-setup-action,"['api-management', 'utilities']",2,0.0,25.0,"['api-management', 'utilities']"
anthonyvscode/newman-action,"['api-management', 'utilities']",3,13.0,32.0,"['api-management', 'utilities']"
camilogarcialarotta/watermelon-http-client,"['api-management', 'utilities']",1,1.0,21.0,"['api-management', 'utilities']"
pr4k/hugo-to-medium,"['api-management', 'utilities']",1,0.0,27.0,"['api-management', 'utilities']"
asyncapi/github-action-for-generator,"['publishing', 'api-management']",2,1.0,34.0,"['publishing', 'api-management']"
fal-ai/dbt-cloud-action,"['continuous-integration', 'api-management']",1,0.0,18.0,"['continuous-integration', 'api-management']"
yuki0n0/action-appstoreconnect-token,"['support', 'api-management']",1,2.0,19.0,"['support', 'api-management']"
